group_id,post_id,message,updated_time,reactions
1353879364788125,1353879371454791,No Message,2019-08-16T12:10:40+0000,{}
2595968997101362,2595969007101361,No Message,2019-08-16T10:53:44+0000,{}
485060002294083,505223053611111,Does everybody have access and admin rights to our Office 365 Account?,2019-09-17T03:31:30+0000,{}
485060002294083,504513477015402,"**Weekly Report**

Sept 9 - Sept 13, 2019

**NetSuite**
* Uploaded items in Netsuite requested by users
* Created New vendors in Netsuite
* Created New customers in Netsuite
* Add employees in Netsuite as employees/vendors
* Edit vendor details as per user requirements
* Provisioned one (1) NetSuite free user access to Lovely Bolivar
* Updated the FAM Asset Template 
* Total Netsuite Available user access = 0
* Updated NetSuite User Access Gsheet with the Free Access Users
* Updated items from Inventory to Non Inventory as it is charged to OPEX as requested by Sir AJ of logistics
* Uploaded Employees in Netsuite as Employee and Vendor as requested by Ms Aileen/Ms Pau

**Managed Engine**
* Created ME template (Novare Request for Payment - OPEX (Recruitment - Genevieve)) as requested by Ms. Ivy Ong
* Updated MPC templates approvals as requested by Ms Ivy Ong
* Meeting with BDO Project c/o Sir Ronnie regarding on migrating their ticketing system to our Managed Engine
* Helped Reggie Pasaol (BDO) in customizing their own Incident Templates but was not able to meet some of the expected points as for some license limitations particularly Customizing their own fields",2019-09-16T00:27:53+0000,{}
485060002294083,503797590420324,"# **WEEKLY REPORT**

**W2 Sept 2019**
* Template duplication and approver alignment for PSO (c/o Ms. Tines)
* ME Asset integration revisited
   * **PROs**
      * Ability to assign to ME users as asset, consistent with departmental allocations
      * Bulk uploading available
   * **NEUTRAL**
      * Report generation may be inadequate, depending on what is being asked for
   * **CONs**
      * Manual importing to Zoho Reports still required
      * When importing assets, registration of MAC addresses requires an IP address to be present (this is not required in Spiceworks)
      * Not all fields are available in search (you cannot search for MAC addresses, which is important when tracing assets)
* Biometric Logs for Platform 11 uploaded to the server.
* MacBook prep for Outsystems testing (old MacBook  Pro of Virgilio So). Returned the day after.
* Replacement monochrome laser printer set up for Accounting/AR.
* Provisioning of MS Office for Sir Topher Cometa. All Mancomm who requires Office will be provisioned with the same license (with OneDrive disabled), up to 5 workstations (under *mancomm@novare.com.hk)*.

**UPDATES**
* 32GB memory upgrades for Data Processing team pending delivery by supplier.
* 50GB storage upgrade for *hope.constantino@mdi.net.ph* rejected by Sir Peter, pending justification from user.
* 48-port Unifi Switch still pending check release as Ms. Myla is out of the country.
* 11F Service Unit printer has been pulled out.

**PENDING**
* PR for 32GB RAM and 256GB upgrade for Dennis Gonzales (MDI R&D team, under William Yu)
* Installation of 5x SSDs to respective SEG laptops
* PR for Adobe Creative Cloud license renewal for Candise Villacorta (for CFO signature)
* Laptop replacement for Richelle Catignas
* Signed proposal for 50GB storage upgrade for *raymond.cruz@mdi.net.ph *has been sent to Ms. Lei. No confirmation received yet.",2019-09-15T00:35:04+0000,{}
485060002294083,502827070517376,"Weekly Report

* 2 Laptop Swap (Dell Latitude 3400 > MacBook Pro) for Daryl Rubinos(Technical Manager) and Peter Dumdum(Software Engineering Manager)
* Mynt Setup (2 Laptops)
* Internal Account System Details and Data Privacy Orientation
* Created Internal Account - With Kobe
* Biometrics - With Kobe
* Laptop setup - With Kobe
* Update phone Inventory - with Kobe
* Finished with Dell Repair Transaction 
   * Dell Latitude 3400 - Daryl Rubinos(Previous Owner)
   * Dell Latitude 3490 - Jenirose Petronio
* Help with the MacBook Pro - Setup with Sir James.

Pending

* Globe Bill
* Marck Estacio LCD Repair 

Typical MIS work wifi connection, admin rights, troubleshooting phone, and printer.",2019-09-14T15:37:37+0000,{'100032633731654': 'LIKE'}
485060002294083,498516370948446,"# **WEEKLY REPORT**

**Week 1, Sept 2019**

* MS Office transfer of license from Louie Toledo (resigned) → Jewel Robosa (OIC?)
* Renewal of 57x licenses for MDI (50 users) and Novare (7 users). Provisioning completed Thursday 05 Sept 2019, valid until 05 Sept 2020.
* 02 Sept, MIS Orientation for MDI new hires.
* Completed provisioning of 50GB storage license for *servicedesk@mdi.net.ph.*
* PR processing for replacement monochrome laser printer of AR (sgd by Ms Leslie Ferriols, approved by Sir Dennis the next day, PO sent on day of CFO approval, no ETA for delivery but on stock).
* Laptop provisioning request from Ms. Agnes Gervacio, Chief Operations Advisor for MDI Novare.  As discussed with Ivan Garong, will provision the 12"" MacBook of outgoing Sales Director [CONFIDENTIAL] to her, while previous MacBook of Ryan Paguio will be issued to him (as discussed with Mai De Guzman).
* MS Office installation for the laptop of Myla Villanueva.
* Part 2 of laptop disk drive data extraction for Jonas Bautista.
* Data extraction and transfer for the laptop of Jay Pena.
* Cabling and setup of new 8-port Unifi PoE switch in 10F Logistics/AR area due to increasing number of IP Phones and Printers vs 2 available LAN ports.
* Internet connectivity assistance for Peter Laud. I have also setup his office printer previously sent out for repair. (Installed a new tri-color cartridge as well. Verified and tested by me and Sir Peter).
* OS reinstall for laptop of Jojo Paras.
* Laptop swap for Jay Peña (Lat 7490 → Lat 3400). Lat 7490 has been returned to pool, reformatted, and reserved for ANY incoming CL6 or CL7 employee.
* NT3 server backup for early Sept.
* Completed integration of Ms. Agnes as approver on *all* OPs in ME (edits to all forms has been finished 1/2 of which was done by Ron). 
* Provisioning of ME Finance Services for Telco and Banking Sales, and Enterprise Sales. Members of these teams will be filing their OPs for approval directly instead of being filed by their respective Sales Admins.

**UPDATES**
* 48-port Unifi PoE 500W switch for Novare datacenter: PO has been processed by vendor, awaiting check release from MDI for item pickup.
* 16-port Unifi PoE 150W switch has been coordinated with AWB, and cannot be exchanged with a working unit since warranty period (1 YR) has lapsed.

**PENDING**
* 50GB storage upgrade license for Raymond Cruz -- awaiting proposal from Lei.
* Memory Upgrade request
   * Recipients have been identified
   * Pending PR creation",2019-09-08T00:52:18+0000,{'100032633731654': 'LIKE'}
485060002294083,498126427654107,"Weekly Report

* Internal Account System & Data Privacy Orientation and Biometrics - MDI | Novare
* New Hire Internal Account / with Kobe
* Laptop preparation with Kobe
* Laptop Inventory for MDI

Typical MIS work wifi connection, admin rights, troubleshooting phone, and printer.

For moving forward.

MacBook
Avira Pro license is bind on our account. **Do not log out** al.escase@novare.com.hk account because it contains the License Activation Key for the Avira Pro. Double Check Once install.",2019-09-07T04:40:52+0000,{'100032633731654': 'LIKE'}
485060002294083,498033204330096,"Weekly Report
* Uploaded items in Netsuite requested by users
* Created New vendors in Netsuite
* Created New customers in Netsuite
* Add employees in Netsuite as employees/vendors
* Edit vendor details as per user requirements
* Provisioned one (1) NetSuite user access to Grace P Piñon
* Total Netsuite Available user access = 1
* Assist Ms Ivy in ME approval of templates",2019-09-06T10:29:37+0000,{'100032633731654': 'LIKE'}
485060002294083,496029434530473,"Hi all,

This is the list of people with their laptop models and existing memory.
* *John Paul Soriano - Dell Vostro 5468 - 8GB RAM*
* *Sarah Capistrano - Dell Latitude 3490 - 8GB RAM*
* *Leonard Macanas - Dell Vostro 5468 - 8GB RAM*
* *Kimberly Mitra - Dell Latitude 3490 - 8GB RAM*
* *Jomille Matildo - Dell Vostro 5468 - 8GB RAM*
* *Ambrosio Jumangit - Dell Vostro 5468 - 8GB RAM*",2019-09-03T04:19:18+0000,{'100032633731654': 'LIKE'}
